Gender,HeightCm,WeightKg
Male,170,73
Male,142,98
Male,149,75
Female,142,81
Male,171,52
Male,140,65
Female,161,75
Male,169,77
Male,177,70
Female,166,69
Female,154,77
Female,145,55
Female,178,56
Male,158,96
Male,154,58
Male,156,71
Female,179,93
Male,166,98
Female,147,85
Male,147,86
Female,163,90
Female,144,96
Female,153,92
Female,173,66
Female,140,62
Female,155,92
Female,148,82
Female,164,68
Male,176,64
Female,162,58
Male,158,84
Female,169,89
Male,178,86
Male,167,55
Female,148,92
Female,171,87
Female,155,82
Female,179,79
Female,152,58
Male,145,99
Female,152,65
Male,141,84
Female,157,69
Female,163,68
Female,147,83
Male,140,78
Male,154,83
Female,168,90
Male,152,77
Male,170,66
Male,152,85
Female,162,86
Female,151,90
Male,168,85
Female,170,88
Male,151,61
Male,146,80
Male,151,53
Male,166,61
Female,141,77
Female,159,67
Male,178,71
Male,163,90
Female,166,69
Female,174,84
Female,148,59
Male,149,64
Male,149,83
Male,162,95
Female,168,74
Male,178,83
Female,175,50
Male,161,86
Female,147,86
Female,176,66
Female,154,67
Female,157,77
Male,156,70
Female,167,53
Male,165,64
Male,177,89
Female,167,91
Female,173,61
Male,149,76
Female,146,74
Female,177,72
Male,166,73
Male,167,77
Male,149,51
Male,179,58
Male,163,90
Male,175,85
Male,150,88
Female,151,68
Male,147,95
Female,172,73
Female,172,56
Male,165,83
Female,174,90
Male,169,69
Male,178,79
Female,161,57
Female,162,80
Male,171,64
Female,162,56
Female,159,55
Male,176,91
Female,172,59
Male,159,63
Male,179,94
Female,165,85
Female,177,53
Male,156,58
Female,171,87
Male,170,77
Male,168,75
Female,177,80
Female,154,54
Female,176,86
Female,150,90
Female,150,89
Male,169,96
Male,153,75
Female,171,51
Male,171,77
Male,154,58
Male,170,99
Female,163,93
Male,148,96
Female,142,94
Male,146,65
Male,160,90
Female,171,97
Male,151,79
Female,158,56
Male,177,86
Female,142,81
Female,158,73
Female,168,93
Female,166,94
Female,157,55
Female,159,88
Male,149,51
Female,171,85
Male,156,72
Female,149,69
Male,154,51
Male,178,99
Male,170,68
Male,173,57
Female,172,79
Male,153,70
Female,164,68
Female,150,68
Male,152,89
Male,149,91
Female,170,86
Male,153,70
Male,147,69
Female,141,97
Female,169,51
Male,177,68
Male,156,74
Female,149,67
Male,168,79
Female,167,81
Male,158,79
Female,159,84
Female,140,55
Male,142,67
Female,163,99
Male,153,81
Male,141,92
Female,168,94
Male,157,73
Male,155,66
Male,154,85
Male,177,58
Male,144,65
Female,179,60
Male,143,55
Female,147,93
Female,141,51
Male,146,88
Female,148,53
Male,166,80
Male,156,76
Male,157,92
Female,169,66
Male,153,59
Female,140,92
Female,167,67
Female,154,65
Male,161,58
Female,146,85
Female,160,91
Male,158,83
Male,153,93
Female,177,98
Male,147,65
Male,176,80
Female,167,73
Male,179,51
Male,174,52
Male,175,84
Male,143,59
Male,173,63
Male,169,57
Female,163,72
Male,177,66
Male,149,84
Female,171,96
Male,162,93
Male,172,84
Male,167,56
Male,165,94
Female,162,82
Female,145,63
Female,175,77
Female,150,79
Male,159,89
Male,159,56
Female,176,93
Male,174,68
Male,168,53
Female,165,83
Female,149,89
Female,146,99
Female,172,52
Female,160,82
Female,176,79
Female,146,82
Female,161,78
Female,179,93
Female,158,61
Male,175,53
Female,163,51
Male,172,71
Female,142,88
Female,177,68
Female,155,73
Female,142,71
Male,169,84
Male,158,74
Male,146,82
Male,165,59
Male,144,72
Male,160,79
Female,169,93
Female,145,90
Female,143,89
Male,147,98
Male,177,89
Male,150,51
Female,144,64
Female,173,86
Male,145,80
Male,176,67
Female,159,83
Male,159,60
Male,168,68
Female,157,87
Female,144,85
Male,151,68
Male,166,83
Male,178,60
Male,167,52
Male,148,59
Female,173,60
Male,159,90
Male,170,73
Male,166,53
Female,143,72
Male,149,96
Male,154,96
Female,176,95
Male,178,74
Male,160,55
Female,172,80
Male,154,96
Female,147,64
Male,169,57
Female,158,74
Female,176,95
Male,160,88
Female,157,82
Male,179,92
Male,140,56
Female,145,83
Male,171,85
Male,140,50
Female,156,98
Female,146,80
Male,147,90
Female,144,90
Male,144,92
Female,147,65
Female,162,96
Female,149,99
Male,165,89
Male,158,73
Male,140,91
Female,167,62
Female,156,69
Female,143,72
Female,149,88
Female,165,89
Female,169,87
Female,174,63
Female,142,60
Female,178,87
Female,179,68
Female,142,50
Male,170,73
Female,170,91
Male,168,69
Female,159,89
Female,158,73
Male,169,89
Male,147,52
Female,156,71
Male,168,97
Male,161,84
Female,158,90
Male,142,61
Female,167,82
Male,168,96
Female,177,56
Female,168,98
Female,172,69
Female,153,95
Male,156,61
Female,173,99
Female,146,94
Female,143,93
Male,148,87
Male,145,63
Male,175,96
Male,156,86
Female,159,66
Female,176,59
Female,168,78
Male,158,63
Male,175,99
Male,158,59
Male,143,51
Female,153,63
Male,164,70
Female,176,81
Male,165,57
Female,167,55
Male,159,91
Male,145,78
Female,173,84
Female,156,77
Female,169,91
Female,149,98
Male,153,95
Female,149,86
Female,174,94
Male,148,71
Male,156,76
Male,159,69
Female,163,56
Male,145,72
Male,165,93
Female,177,71
Male,164,61
Female,174,67
Male,169,85
Female,140,96
Male,153,58
Male,149,76
Female,176,66
Male,147,67
Female,154,67
Male,165,61
Male,149,67
Female,140,63
Male,151,78
Female,166,53
Female,150,57
Male,158,69
Male,142,63
Male,143,85
Female,157,74
Male,174,91
Male,149,91
Female,163,98
Male,160,86
Male,172,87
Female,162,85
Female,154,86
Male,176,79
Female,157,81
Male,174,84
Male,143,85
Male,149,85
Female,164,77
Male,161,68
Male,151,90
Male,155,57
Male,142,83
Male,169,51
Male,159,53
Male,159,70
Female,175,86
Female,141,90
Male,172,64
Male,158,61
Male,157,90
Female,163,61
Male,172,60
Male,142,82
Female,160,51
Male,170,89
Male,163,92
Female,178,93
Female,158,60
Male,153,82
Male,156,98
Male,171,57
Male,167,54
Female,178,71
Female,157,61
Male,150,61
Male,144,75
Male,178,79
Female,151,57
Male,164,71
Male,158,80
Female,169,54
Female,146,96
Female,170,77
Male,157,55
Female,151,82
Male,158,89
Female,152,92
Female,156,62
Male,168,84
Female,169,67
Male,146,56
Female,152,60
Female,159,64
Female,164,85
Female,150,66
Male,143,87
Female,170,52
Male,155,53
Female,164,54
Male,164,57
Male,155,86
Female,164,84
Female,147,82
Male,176,92
Female,143,54
Male,171,70
Female,149,50
Female,142,68
Female,148,58
Male,156,97
Female,164,84
Male,149,83
Female,162,67
Male,164,88
Female,174,67
Male,158,91
Male,149,83
Female,157,54
Male,179,76
Female,143,87
Female,168,96
Male,152,79
Female,174,58
Male,147,83
Male,178,74
Male,172,82
Male,149,97
Male,163,53
Male,143,52
Female,142,89
Male,172,74
Male,158,99
Female,162,56
Male,167,71
Female,159,89
Female,151,94
Male,148,72
Female,162,97
Female,159,95
Female,143,57
Male,178,64
Male,171,73
Male,155,69
Male,147,62
Female,177,68
Female,157,68
Male,178,77
Female,178,74
Male,152,87
Male,154,87
Female,140,63
Female,162,76
Male,152,52
Female,142,63
Female,146,75
Male,152,68
Female,171,81
Male,161,75
Female,161,77
Male,154,52
Female,149,62
Male,176,77
Male,157,95
Male,177,53
Male,155,80
Male,145,54
Female,169,52
Male,170,90
Female,177,74
Female,152,79
Female,179,98
Female,163,62
Male,163,74
Male,147,90
Female,147,95
Female,175,84
Male,162,79
Female,163,78
Male,145,95
Male,152,69
Female,169,94
Female,163,78
Female,140,88
Male,152,94
Male,142,80
Female,169,76
Female,149,51
Male,149,55
Male,171,87
Male,168,75
Female,173,76
Male,167,79
Male,160,54
Male,151,90
Male,171,64
Female,168,75
Female,163,75
Female,171,94
Male,170,57
Female,144,90
Male,178,74
Male,177,52
Male,171,68
Male,161,80
Male,165,79
Male,143,74
Male,150,52
Male,142,68
Female,148,83
Male,161,80
Female,169,59
Female,171,83
Male,154,51
Female,178,76
Female,150,56
Female,179,96
Female,151,78
Male,165,51
Male,176,74
Female,150,97
Male,173,59
Male,171,85
Female,157,77
Female,147,99
Female,146,61
Male,177,54
Female,159,84
Female,141,60
Female,171,84
Female,167,82
Male,172,62
Male,155,79
Male,151,54
Female,169,89
Male,159,84
Female,143,94
Female,167,81
Female,155,60
Female,152,63
Female,151,86
Male,162,81
Male,145,55
Male,158,90
Female,156,58
Female,177,61
Female,161,77
Female,178,58
Female,177,70
Female,173,94
Female,147,80
Female,151,82
Female,159,81
Female,170,51
Female,157,94
Female,168,99
Male,154,83
Female,178,96
Female,142,66
Male,149,93
Female,166,92
Male,155,62
Female,155,94
Male,168,99
Male,159,76
Female,147,58
Male,169,69
Female,166,61
Female,141,50
Female,154,95
Male,168,90
Female,157,81
Male,158,70
Male,142,58
Male,160,85
Female,171,67
Male,176,86
Male,167,53
Male,147,63
Female,148,64
Male,141,88
Female,158,82
Female,172,53
Male,142,88
Male,168,65
Female,164,51
Female,178,62
Male,146,88
Male,160,79
Male,169,58
Male,150,51
Male,158,99
Male,161,57
Male,152,61
Male,167,56
Female,169,75
Female,165,77
Male,140,70
Male,155,54
Female,143,73
Female,166,97
Female,153,95
Male,163,72
Female,145,76
